epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.62,3.60405,2.8763,2.94365,0.93287,0.12384,0.14535,0.06434,2.03772,1.71785,1.82864,0.00332741,0.00332741,0.00332741
2,609.202,1.78303,1.40005,1.5026,0.46667,0.25773,0.26032,0.14368,1.45902,1.20685,1.35539,0.00664426,0.00664426,0.00664426
3,906.158,1.56328,1.18946,1.32877,0.25682,0.38388,0.30989,0.18033,1.3584,1.03967,1.28008,0.00994461,0.00994461,0.00994461
4,1203.06,1.43534,1.04605,1.24713,0.29132,0.43313,0.34559,0.21291,1.24793,0.91407,1.20984,0.00992575,0.00992575,0.00992575
5,1500.35,1.34637,0.94982,1.20062,0.33971,0.47041,0.39231,0.23893,1.24675,0.84882,1.20011,0.009901,0.009901,0.009901
6,1796.67,1.29548,0.87903,1.17774,0.42627,0.47862,0.43373,0.27792,1.19745,0.8342,1.16987,0.00987625,0.00987625,0.00987625
7,2094.04,1.26717,0.84022,1.15888,0.43644,0.54754,0.48292,0.31676,1.16386,0.72861,1.14996,0.0098515,0.0098515,0.0098515
8,2390.82,1.23703,0.80358,1.14317,0.48888,0.58409,0.5236,0.33959,1.16184,0.71492,1.14474,0.00982675,0.00982675,0.00982675
9,2687.35,1.23467,0.79154,1.14257,0.49488,0.56671,0.55177,0.35883,1.13813,0.72497,1.13419,0.009802,0.009802,0.009802
10,2983.67,1.21595,0.76561,1.12961,0.55352,0.59645,0.58175,0.38397,1.14164,0.67175,1.13406,0.00977725,0.00977725,0.00977725
11,3279.92,1.20369,0.7499,1.12397,0.58573,0.59463,0.58167,0.38553,1.13858,0.65782,1.13143,0.0097525,0.0097525,0.0097525
12,3577.2,1.19175,0.73602,1.11482,0.55212,0.61824,0.60958,0.40427,1.12606,0.63913,1.12369,0.00972775,0.00972775,0.00972775
13,3873.92,1.18236,0.72777,1.11523,0.60459,0.62362,0.6146,0.41252,1.12192,0.63463,1.12244,0.009703,0.009703,0.009703
14,4170.88,1.1732,0.71881,1.11238,0.55913,0.65243,0.62097,0.41684,1.10646,0.61433,1.11274,0.00967825,0.00967825,0.00967825
15,4467.42,1.16597,0.7064,1.10436,0.57806,0.62696,0.61608,0.41524,1.12006,0.62813,1.11937,0.0096535,0.0096535,0.0096535
16,4764.4,1.16786,0.69625,1.10036,0.61852,0.65135,0.63585,0.43327,1.09343,0.62895,1.10701,0.00962875,0.00962875,0.00962875
17,5060.34,1.15714,0.68987,1.10292,0.64713,0.67105,0.66611,0.45525,1.08485,0.58524,1.10003,0.009604,0.009604,0.009604
18,5356.13,1.15015,0.68278,1.09809,0.60524,0.66837,0.65575,0.44873,1.08693,0.58987,1.1028,0.00957925,0.00957925,0.00957925
19,5653.76,1.14916,0.67478,1.09637,0.65489,0.6637,0.66973,0.46031,1.08268,0.58063,1.09946,0.0095545,0.0095545,0.0095545
20,5950.21,1.14823,0.66969,1.09899,0.64452,0.66078,0.65749,0.45469,1.08137,0.57706,1.09828,0.00952975,0.00952975,0.00952975
21,6246.57,1.14532,0.6658,1.0925,0.64457,0.69939,0.6707,0.46545,1.07086,0.57437,1.09323,0.009505,0.009505,0.009505
22,6543.02,1.14013,0.66747,1.0912,0.61343,0.70497,0.67077,0.46472,1.06653,0.5682,1.09058,0.00948025,0.00948025,0.00948025
23,6839.75,1.13349,0.65856,1.09009,0.65957,0.68821,0.67975,0.47328,1.06447,0.55784,1.08828,0.0094555,0.0094555,0.0094555
24,7136.31,1.13176,0.65286,1.09126,0.67913,0.69152,0.69923,0.48715,1.06534,0.54919,1.08896,0.00943075,0.00943075,0.00943075
25,7432.97,1.12718,0.65002,1.08619,0.66721,0.69937,0.6954,0.48626,1.05852,0.54457,1.08496,0.009406,0.009406,0.009406
26,7729.17,1.1168,0.63101,1.07673,0.66833,0.70243,0.69929,0.48801,1.05515,0.54295,1.08395,0.00938125,0.00938125,0.00938125
27,8025.74,1.11852,0.64289,1.0835,0.68238,0.70533,0.70634,0.49535,1.05514,0.53896,1.08253,0.0093565,0.0093565,0.0093565
28,8322.28,1.11902,0.63886,1.08048,0.67543,0.71434,0.70795,0.49716,1.05459,0.53459,1.08209,0.00933175,0.00933175,0.00933175
29,8619.51,1.11694,0.63492,1.0786,0.69302,0.70457,0.71626,0.50078,1.0535,0.53212,1.08158,0.009307,0.009307,0.009307
30,8916.42,1.11646,0.63376,1.0797,0.70337,0.71369,0.72757,0.51269,1.04767,0.52428,1.07826,0.00928225,0.00928225,0.00928225
31,9213.15,1.11212,0.62837,1.07931,0.69573,0.7159,0.72232,0.51095,1.04529,0.52536,1.07696,0.0092575,0.0092575,0.0092575
32,9510.52,1.11282,0.62692,1.07873,0.70064,0.70961,0.72077,0.5088,1.04423,0.52466,1.07567,0.00923275,0.00923275,0.00923275
33,9807.74,1.11173,0.62327,1.07664,0.70038,0.71405,0.72991,0.51571,1.04313,0.52032,1.07604,0.009208,0.009208,0.009208
34,10105.7,1.10065,0.61954,1.07284,0.70536,0.72167,0.73135,0.51874,1.04195,0.51799,1.07492,0.00918325,0.00918325,0.00918325
35,10402.9,1.10534,0.61317,1.07112,0.70182,0.72324,0.73684,0.52268,1.03853,0.51639,1.07317,0.0091585,0.0091585,0.0091585
36,10699.2,1.10008,0.6149,1.0748,0.71643,0.71846,0.7412,0.52594,1.03506,0.51295,1.07137,0.00913375,0.00913375,0.00913375
37,10995.8,1.09391,0.61027,1.06574,0.70391,0.73379,0.73922,0.52482,1.03416,0.51345,1.07092,0.009109,0.009109,0.009109
38,11292.8,1.09922,0.61028,1.06861,0.71354,0.73418,0.74562,0.52952,1.03431,0.50959,1.07126,0.00908425,0.00908425,0.00908425
39,11588.7,1.10033,0.60733,1.07034,0.72245,0.73548,0.75316,0.53552,1.03309,0.50679,1.07036,0.0090595,0.0090595,0.0090595
40,11884.7,1.09358,0.60728,1.07159,0.71189,0.73887,0.75123,0.5353,1.03103,0.5049,1.06883,0.00903475,0.00903475,0.00903475
