epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.449,3.37058,2.86675,3.22821,0.48246,0.36673,0.38377,0.16266,2.3327,2.35213,2.70981,0.00332447,0.00332447,0.00332447
2,437.066,1.92539,1.42683,1.90704,0.73265,0.5895,0.68382,0.34728,1.75418,1.94227,2.11573,0.00663583,0.00663583,0.00663583
3,650.239,1.75548,1.18036,1.7462,0.80605,0.68132,0.77717,0.40849,1.6959,1.7708,2.035,0.00992519,0.00992519,0.00992519
4,863.187,1.68528,1.06792,1.68954,0.68235,0.56649,0.64511,0.32724,1.90451,2.34911,2.16238,0.009901,0.009901,0.009901
5,1076.21,1.60954,0.96495,1.62314,0.60772,0.53349,0.57585,0.2955,2.0234,1.8519,2.26284,0.009868,0.009868,0.009868
6,1288.88,1.55827,0.9029,1.59138,0.89438,0.7503,0.85765,0.49617,1.49163,1.07833,1.83509,0.009835,0.009835,0.009835
7,1501.46,1.53248,0.86152,1.57795,0.83189,0.6646,0.77316,0.44865,1.62525,1.3406,1.9528,0.009802,0.009802,0.009802
8,1714.62,1.49957,0.82463,1.55373,0.64936,0.48157,0.55378,0.26589,2.12619,1.72253,2.30097,0.009769,0.009769,0.009769
9,1927.83,1.48403,0.7966,1.54198,0.8262,0.70315,0.80258,0.42504,1.68943,1.20331,1.97111,0.009736,0.009736,0.009736
10,2141.06,1.46222,0.77729,1.51849,0.87539,0.78439,0.87933,0.50622,1.52977,1.13006,1.84425,0.009703,0.009703,0.009703
11,2355.02,1.45721,0.76554,1.53369,0.80139,0.6802,0.78433,0.42839,1.70242,1.14527,1.97466,0.00967,0.00967,0.00967
12,2568.18,1.46122,0.75652,1.52439,0.91706,0.80354,0.89971,0.53718,1.4624,0.92089,1.79726,0.009637,0.009637,0.009637
13,2781.54,1.44135,0.7394,1.50725,0.88685,0.8145,0.9007,0.54488,1.44001,0.86489,1.80091,0.009604,0.009604,0.009604
14,2994.76,1.42879,0.72473,1.49606,0.90465,0.77572,0.88657,0.54012,1.46895,0.93974,1.82419,0.009571,0.009571,0.009571
15,3207.97,1.42445,0.7083,1.49588,0.92661,0.84522,0.93019,0.57398,1.38718,0.80247,1.73588,0.009538,0.009538,0.009538
16,3421.61,1.41321,0.70282,1.48783,0.8292,0.73356,0.82137,0.45942,1.65906,1.05417,1.94763,0.009505,0.009505,0.009505
17,3633.98,1.39522,0.69204,1.47492,0.91021,0.84148,0.92092,0.57423,1.36232,0.82977,1.72804,0.009472,0.009472,0.009472
18,3846.83,1.39044,0.68269,1.46991,0.89479,0.80518,0.90134,0.54847,1.38435,0.99433,1.73543,0.009439,0.009439,0.009439
